Project	IssueType	Summary	Parent_Summary	Assignee	Priority	FixVersion	DueDate	Component	Description
ENSCOMPARASW	Task	Release <version>  Preparation		<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Preparation
ENSCOMPARASW	Sub-task	Declaration of Intentions	Release <version>  Preparation	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-DeclarationofIntentions
ENSCOMPARASW	Sub-task	Update your checkouts	Release <version>  Preparation	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Updateyourcheckouts
ENSCOMPARASW	Sub-task	check Compara servers space	Release <version>  Preparation	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Comparaservers
ENSCOMPARASW	Sub-task	update Configuration file	Release <version>  Preparation	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Configurationfile
ENSCOMPARASW	Task	Release <version> Schema preparation		<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Schemapreparation
ENSCOMPARASW	Sub-task	update master tables and create patch files	Release <version> Schema preparation	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Updatetable.sqlandcreatepatchfiles
ENSCOMPARASW	Sub-task	check patch files	Release <version> Schema preparation	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Checkthepatchfiles
ENSCOMPARASW	Sub-task	Patch the test DBs	Release <version> Post-handover	<RelCo>	Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-Patchthetestdatabases
ENSCOMPARASW	Sub-task	Branch code	Release <version> Post-handover	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Branchthecode
ENSCOMPARASW	Sub-task	Specialize the branch	Release <version> Post-handover	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Specializethebranch
ENSCOMPARASW	Task	Update master DB		<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Masterdatabase
ENSCOMPARASW	Sub-task	NCBI taxonomy 	Update master DB	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-NCBItaxonomydata
ENSCOMPARASW	Sub-task	Add new entries to compara master database	Update master DB	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Addnewentriestocomparamasterdatabase
ENSCOMPARASW	Sub-task	Add method_link_species_set entries to compara master database	Update master DB	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Addmethod_link_species_setentriestocomparamasterdatabase
ENSCOMPARASW	Sub-task	Final edits to compara master database	Update master DB	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Finaleditstocomparamasterdatabase
ENSCOMPARASW	Task	Release <version> Production  pipelines main site		<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Production
ENSCOMPARASW	Sub-task	Run the member loading pipeline	Release <version> Production  pipelines main site		Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-Production
ENSCOMPARASW	Sub-task	Run the Family pipeline	Release <version> Production  pipelines main site		Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-Mainsite
ENSCOMPARASW	Sub-task	Run the Protein tree pipeline + WGA	Release <version> Production  pipelines main site		Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-Mainsite
ENSCOMPARASW	Sub-task	Run ncRNA pipeline + WGA	Release <version> Production  pipelines main site		Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-Mainsite
ENSCOMPARASW	Sub-task	Run mouse strains ncRNA pipeline 	Release <version> Production  pipelines main site		Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-Mainsite
ENSCOMPARASW	Sub-task	Run mouse strain protein tree pipeline	Release <version> Production  pipelines main site		Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-Mainsite
ENSCOMPARASW	Sub-task	Run Mammal EPO	Release <version> Production  pipelines main site		Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-Mainsite
ENSCOMPARASW	Sub-task	Run Mammal EPO_low	Release <version> Production  pipelines main site		Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-Mainsite
ENSCOMPARASW	Sub-task	Run Primate EPO	Release <version> Production  pipelines main site		Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-Mainsite
ENSCOMPARASW	Sub-task	Run Amniotes pecan	Release <version> Production  pipelines main site		Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-Mainsite
ENSCOMPARASW	Sub-task	Handover of Homologies data	Release <version> Production  pipelines main site		Major	Ensembl <version>		Release process	
ENSCOMPARASW	Task	Release <version> Production  pipelines GRCh37		<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-GRCh37site[edit]
ENSCOMPARASW	Sub-task	GRCh37 tasks 	Release <version> Production  pipelines GRCh37	<RelCo>	Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-GRCh37site[edit]
ENSCOMPARASW	Task	Release <version> End of production window		<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Endofproductionwindow
ENSCOMPARASW	Sub-task	Create Release Database	Release <version> End of production window	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-CreateReleaseDatabase
ENSCOMPARASW	Sub-task	Merge DNA data	Release <version> End of production window	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-MergeDNAdata
ENSCOMPARASW    Sub-task        Run syntenies pipeline on release db  Release <version> End of production window      <RelCo> Major   Ensembl <version>               Release process relco_doc#Releasecoordinationdocumentation-MergeDNAdata
ENSCOMPARASW    Sub-task	Build a new ancestral sequence core database  Release <version> End of production window      <RelCo> Major   Ensembl <version>               Release process relco_doc#Releasecoordinationdocumentation-MergeDNAdata
ENSCOMPARASW    Sub-task        Run Projection pipeline   Release <version> End of production window      <RelCo> Major   Ensembl <version>                ImportAltAlleGroupsAsHomologies_conf
